[Wed Aug 12 16:54:45.866349 2015] [:error] [pid 15242] [client 127.0.0.1:33448] PHP Fatal error:  Uncaught exception 'PDOException' with message 'SQLSTATE[42000] [1049] Unknown database 'combats'' in /home/greg/poo/www/mini_jeux.php:10\nStack trace:\n#0 /home/greg/poo/www/mini_jeux.php(10): PDO->__construct('mysql:host=loca...', 'root', 'greg')\n#1 {main}\n  thrown in /home/greg/poo/www/mini_jeux.php on line 10
[Wed Aug 12 16:55:04.715074 2015] [:error] [pid 15243] [client 127.0.0.1:33449] PHP Fatal error:  Class 'PersonnagesManager' not found in /home/greg/poo/www/mini_jeux.php on line 13
[Wed Aug 12 16:55:43.347741 2015] [:error] [pid 15244] [client 127.0.0.1:33451] PHP Notice:  Undefined property: Greg\\PersonnageManager::$_db in /home/greg/poo/vendor/greg/Greg/src/PersonnageManager.php on line 31
[Wed Aug 12 16:55:43.347765 2015] [:error] [pid 15244] [client 127.0.0.1:33451] PHP Fatal error:  Call to a member function query() on null in /home/greg/poo/vendor/greg/Greg/src/PersonnageManager.php on line 31
[Wed Aug 12 16:56:03.721363 2015] [:error] [pid 15199] [client 127.0.0.1:33452] PHP Notice:  Undefined property: Greg\\PersonnageManager::$_db in /home/greg/poo/vendor/greg/Greg/src/PersonnageManager.php on line 31
[Wed Aug 12 16:56:03.721381 2015] [:error] [pid 15199] [client 127.0.0.1:33452] PHP Fatal error:  Call to a member function query() on null in /home/greg/poo/vendor/greg/Greg/src/PersonnageManager.php on line 31
[Wed Aug 12 16:57:52.322270 2015] [:error] [pid 15198] [client 127.0.0.1:33456] PHP Fatal error:  Uncaught exception 'PDOException' with message 'SQLSTATE[28000] [1045] Access denied for user 'root'@'localhost' (using password: NO)' in /home/greg/poo/www/mini_jeux.php:10\nStack trace:\n#0 /home/greg/poo/www/mini_jeux.php(10): PDO->__construct('mysql:host=loca...', 'root', '')\n#1 {main}\n  thrown in /home/greg/poo/www/mini_jeux.php on line 10
[Wed Aug 12 16:58:29.215982 2015] [:error] [pid 15200] [client 127.0.0.1:33457] PHP Notice:  Undefined property: Greg\\PersonnageManager::$_db in /home/greg/poo/vendor/greg/Greg/src/PersonnageManager.php on line 31
[Wed Aug 12 16:58:29.216005 2015] [:error] [pid 15200] [client 127.0.0.1:33457] PHP Fatal error:  Call to a member function query() on null in /home/greg/poo/vendor/greg/Greg/src/PersonnageManager.php on line 31
[Fri Aug 14 10:06:55.422813 2015] [:error] [pid 3892] [client 127.0.0.1:55086] PHP Fatal error:  Class 'PersonnagesManager' not found in /home/greg/poo/www/mini_jeux.php on line 13, referer: http://127.0.2.1/
[Fri Aug 14 10:09:05.701722 2015] [:error] [pid 3893] [client 127.0.0.1:55091] PHP Fatal error:  Class 'PersonnagesManager' not found in /home/greg/poo/www/mini_jeux.php on line 13
[Fri Aug 14 10:09:36.408764 2015] [:error] [pid 3892] [client 127.0.0.1:55097] PHP Notice:  Undefined property: Greg\\PersonnageManager::$_db in /home/greg/poo/vendor/greg/Greg/src/PersonnageManager.php on line 31
[Fri Aug 14 10:09:36.408812 2015] [:error] [pid 3892] [client 127.0.0.1:55097] PHP Fatal error:  Call to a member function query() on null in /home/greg/poo/vendor/greg/Greg/src/PersonnageManager.php on line 31
[Fri Aug 14 10:10:41.029276 2015] [:error] [pid 4617] [client 127.0.0.1:55101] PHP Notice:  Undefined property: Greg\\PersonnageManager::$_db in /home/greg/poo/vendor/greg/Greg/src/PersonnageManager.php on line 31
[Fri Aug 14 10:10:41.029334 2015] [:error] [pid 4617] [client 127.0.0.1:55101] PHP Fatal error:  Call to a member function query() on null in /home/greg/poo/vendor/greg/Greg/src/PersonnageManager.php on line 31
[Fri Aug 14 10:11:00.031912 2015] [:error] [pid 3895] [client 127.0.0.1:55106] PHP Notice:  Undefined property: Greg\\PersonnageManager::$_db in /home/greg/poo/vendor/greg/Greg/src/PersonnageManager.php on line 31
[Fri Aug 14 10:11:00.031933 2015] [:error] [pid 3895] [client 127.0.0.1:55106] PHP Fatal error:  Call to a member function query() on null in /home/greg/poo/vendor/greg/Greg/src/PersonnageManager.php on line 31
[Fri Aug 14 10:16:16.016891 2015] [:error] [pid 3892] [client 127.0.0.1:55121] PHP Fatal error:  Class 'Greg\\PDO' not found in /home/greg/poo/vendor/greg/Greg/src/PersonnageManager.php on line 93, referer: http://127.0.2.1/mini_jeux.php
[Fri Aug 14 10:16:32.241196 2015] [:error] [pid 3893] [client 127.0.0.1:55123] PHP Fatal error:  Class 'Greg\\PDO' not found in /home/greg/poo/vendor/greg/Greg/src/PersonnageManager.php on line 93, referer: http://127.0.2.1/mini_jeux.php?deconnexion=1
[Fri Aug 14 10:17:24.914518 2015] [:error] [pid 4617] [client 127.0.0.1:55133] PHP Fatal error:  Class 'Greg\\PDO' not found in /home/greg/poo/vendor/greg/Greg/src/PersonnageManager.php on line 79, referer: http://127.0.2.1/mini_jeux.php?deconnexion=1
[Fri Aug 14 10:17:52.247074 2015] [:error] [pid 4616] [client 127.0.0.1:55136] PHP Fatal error:  Class 'Greg\\PDO' not found in /home/greg/poo/vendor/greg/Greg/src/PersonnageManager.php on line 79, referer: http://127.0.2.1/mini_jeux.php?deconnexion=1
[Fri Aug 14 10:46:18.775706 2015] [:error] [pid 3893] [client 127.0.0.1:55227] script '/home/greg/poo/www/mini_jeux2.php' not found or unable to stat
[Fri Aug 14 10:47:21.272610 2015] [:error] [pid 4616] [client 127.0.0.1:55231] PHP Warning:  include_once(/home/greg/poo/www/vendor/autoload.php): failed to open stream: No such file or directory in /home/greg/poo/www/mini_jeux.php on line 2, referer: http://127.0.2.1/
[Fri Aug 14 10:47:21.272651 2015] [:error] [pid 4616] [client 127.0.0.1:55231] PHP Warning:  include_once(): Failed opening '/home/greg/poo/www/vendor/autoload.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/greg/poo/www/mini_jeux.php on line 2, referer: http://127.0.2.1/
